,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Parkwoods,43.7611243,-79.32405940000001,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
1,Parkwoods,43.7611243,-79.32405940000001,Tim Hortons,43.76066827030228,-79.32636763515987,Café
2,Parkwoods,43.7611243,-79.32405940000001,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
3,Parkwoods,43.7611243,-79.32405940000001,Food Basics,43.76054899113784,-79.32604520023006,Supermarket
4,Parkwoods,43.7611243,-79.32405940000001,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
5,Parkwoods,43.7611243,-79.32405940000001,Parkwoods Coin Laundry,43.76038596280906,-79.32489395141602,Laundry Service
6,Parkwoods,43.7611243,-79.32405940000001,Dollarama,43.760341,-79.325519,Discount Store
7,Parkwoods,43.7611243,-79.32405940000001,La Notre,43.76070416249771,-79.32539551954271,Coffee Shop
8,Parkwoods,43.7611243,-79.32405940000001,Family Food Fair Convenience,43.760619989690674,-79.32445934492416,Convenience Store
9,Parkwoods,43.7611243,-79.32405940000001,Parkwoods Village Centre,43.760735,-79.324873,Shopping Mall
10,Parkwoods,43.7611243,-79.32405940000001,Spicy Chicken House,43.76063939666398,-79.32567060771729,Chinese Restaurant
11,Victoria Village,43.732658,-79.3111892,Wigmore Park,43.731023438497964,-79.3107706628902,Park
12,Regent Park,43.66070560000001,-79.3604569,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
13,Regent Park,43.66070560000001,-79.3604569,Daniels Spectrum,43.66013679276432,-79.36180783336452,Performing Arts Venue
14,Regent Park,43.66070560000001,-79.3604569,Regent Park,43.660382523982804,-79.36181011844143,Park
15,Regent Park,43.66070560000001,-79.3604569,Shoppers Drug Mart,43.660204,-79.361332,Pharmacy
16,Regent Park,43.66070560000001,-79.3604569,Wendy’s,43.660403362711776,-79.36062902212149,Fast Food Restaurant
17,Regent Park,43.66070560000001,-79.3604569,Tim Hortons,43.659935,-79.3613063,Coffee Shop
18,Regent Park,43.66070560000001,-79.3604569,Le Beau,43.660773,-79.359381,Café
19,Regent Park,43.66070560000001,-79.3604569,Regent Park Athletic Grounds,43.659863,-79.35867,Athletics & Sports
20, Harbourfront,43.640080100000006,-79.3801495,Harbour Square Park,43.63925269130776,-79.37839547902978,Park
21, Harbourfront,43.640080100000006,-79.3801495,Lake Ontario,43.63894493157648,-79.37966465950012,Lake
22, Harbourfront,43.640080100000006,-79.3801495,Harbourfront,43.639525632239106,-79.38068838052389,Neighborhood
23, Harbourfront,43.640080100000006,-79.3801495,BeaverTails,43.639736,-79.380068,Dessert Shop
24, Harbourfront,43.640080100000006,-79.3801495,Ontario Square,43.63937829745867,-79.38209598496967,Plaza
25, Harbourfront,43.640080100000006,-79.3801495,Fleck Dance Theater,43.638300366812686,-79.3804699399247,Dance Studio
26, Harbourfront,43.640080100000006,-79.3801495,Sharetea,43.640175967763966,-79.37960567018246,Bubble Tea Shop
27, Harbourfront,43.640080100000006,-79.3801495,Lavazza Espression,43.63953746292591,-79.38176322686563,Coffee Shop
28, Harbourfront,43.640080100000006,-79.3801495,Aroma Espresso Bar,43.64074017304165,-79.37847790115718,Coffee Shop
